num_node,node_min_capacity,node_max_capacity,capacity_skew,num_copy,strategy,total_capacity,num_stored,num_utilized_node,utilized_capacity,redundancy
12000,1024,102400,1,3,Vanilla,113104439,1115652,12000,3346515,2.9996047
12000,1024,102400,1,3,Vanilla,112775206,1386836,12000,4158841,2.998798
12000,1024,102400,1,3,Vanilla,112964473,1590718,12000,4767448,2.9970417
12000,1024,102400,1,3,Vanilla,113605345,1460103,12000,4377943,2.9983795
12000,1024,102400,1,3,Vanilla,113447753,1738836,12000,5211159,2.9969237
12000,1024,102400,1,3,Vanilla,113646729,1637198,12000,4905412,2.996224
12000,1024,102400,1,3,Vanilla,112107982,1809272,12000,5421604,2.9965665
12000,1024,102400,1,3,Vanilla,113602482,1229216,12000,3687158,2.9996014
12000,1024,102400,1,3,Vanilla,112658749,1124341,12000,3372625,2.999646
12000,1024,102400,1,3,Vanilla,112283377,1513135,12000,4536772,2.99826
12000,1024,102400,1,3,Vanilla,113565351,1890017,12000,5664395,2.9970074
12000,1024,102400,1,3,Vanilla,109911960,1143417,12000,3429970,2.9997542
12000,1024,102400,1,3,Vanilla,114401003,1420948,12000,4260356,2.998249
12000,1024,102400,1,3,Vanilla,107679948,1427430,12000,4280435,2.9987004
12000,1024,102400,1,3,Vanilla,111830113,1527283,12000,4580298,2.9989846
12000,1024,102400,1,3,Vanilla,112462816,1906467,12000,5708830,2.994455
12000,1024,102400,1,3,Vanilla,113825762,1818349,12000,5449273,2.9968245
12000,1024,102400,1,3,Vanilla,112767299,1676003,12000,5024256,2.9977608
12000,1024,102400,1,3,Vanilla,114056132,1607323,12000,4815178,2.995775
12000,1024,102400,1,3,Vanilla,114964619,1778363,12000,5331595,2.9980352
12000,1024,102400,1,3,Vanilla,115615028,1710325,12000,5124126,2.9959955
12000,1024,102400,1,3,Vanilla,112559740,1449070,12000,4345940,2.9991236
12000,1024,102400,1,3,Vanilla,113949110,1413445,12000,4238900,2.9989848
12000,1024,102400,1,3,Vanilla,114814464,1452146,12000,4354972,2.9989905
12000,1024,102400,1,3,Vanilla,114521280,1544958,12000,4631815,2.99802
12000,1024,102400,1,3,Vanilla,112655111,1536999,12000,4608236,2.9982038
12000,1024,102400,1,3,Vanilla,111627327,1246827,12000,3739655,2.9993374
12000,1024,102400,1,3,Vanilla,109611790,1688574,12000,5061515,2.9975085
12000,1024,102400,1,3,Vanilla,111384958,1436399,12000,4307947,2.9991298
12000,1024,102400,1,3,Vanilla,114469299,1441843,12000,4324326,2.9991655
12000,1024,102400,1,3,Vanilla,114318312,1618215,12000,4849950,2.9970987
12000,1024,102400,1,3,Vanilla,111276324,1622580,12000,4864631,2.9980838
12000,1024,102400,1,3,Vanilla,107788375,1612485,12000,4834734,2.9983125
12000,1024,102400,1,3,Vanilla,109742150,1095744,12000,3286921,2.9997163
12000,1024,102400,1,3,Vanilla,109853012,1183937,12000,3551338,2.9996004
12000,1024,102400,1,3,Vanilla,109378206,1669785,12000,5005322,2.9975848
12000,1024,102400,1,3,Vanilla,114786747,1764646,12000,5286936,2.996032
12000,1024,102400,1,3,Vanilla,114573561,1463227,12000,4386873,2.998081
12000,1024,102400,1,3,Vanilla,111673637,1500155,12000,4499282,2.9992113
12000,1024,102400,1,3,Vanilla,113190578,1395427,12000,4183487,2.9979978
12000,1024,102400,1,3,Vanilla,108178593,1186793,12000,3559888,2.9995863
12000,1024,102400,1,3,Vanilla,113974325,1198353,12000,3594080,2.999183
12000,1024,102400,1,3,Vanilla,114371719,1675971,12000,5020443,2.9955428
12000,1024,102400,1,3,Vanilla,109893772,1590875,12000,4770690,2.9987836
12000,1024,102400,1,3,Vanilla,110663336,1899798,12000,5688043,2.9940252
12000,1024,102400,1,3,Vanilla,112804625,1884672,12000,5644216,2.9948
12000,1024,102400,1,3,Vanilla,112180359,1253891,12000,3761068,2.9995174
12000,1024,102400,1,3,Vanilla,109399788,1147985,12000,3443536,2.999635
12000,1024,102400,1,3,Vanilla,110338858,1187545,12000,3562162,2.9996016
12000,1024,102400,1,3,Vanilla,114460678,1254947,12000,3764066,2.9993825
12000,1024,102400,1,3,Vanilla,114083840,1485831,12000,4455932,2.9989495
12000,1024,102400,1,3,Vanilla,113009423,1419377,12000,4255290,2.9979985
12000,1024,102400,1,3,Vanilla,114150690,1645970,12000,4933125,2.997093
12000,1024,102400,1,3,Vanilla,113130596,1428570,12000,4284384,2.9990718
12000,1024,102400,1,3,Vanilla,112310758,1445846,12000,4333682,2.997333
12000,1024,102400,1,3,Vanilla,115832834,1596733,12000,4786401,2.9976213
12000,1024,102400,1,3,Vanilla,115420666,1456984,12000,4369315,2.9988763
12000,1024,102400,1,3,Vanilla,110206401,1634304,12000,4897277,2.996552
12000,1024,102400,1,3,Vanilla,110622588,1480679,12000,4438935,2.997905
12000,1024,102400,1,3,Vanilla,109326134,1354873,12000,4062723,2.9986007
12000,1024,102400,1,3,Vanilla,116598714,1868658,12000,5599153,2.9963498
12000,1024,102400,1,3,Vanilla,113498724,1684368,12000,5049428,2.9978175
12000,1024,102400,1,3,Vanilla,112493507,1626641,12000,4876203,2.997713
12000,1024,102400,1,3,Vanilla,111679708,1690968,12000,5069463,2.997965
12000,1024,102400,1,3,Vanilla,115069883,1560103,12000,4676123,2.9973168
12000,1024,102400,1,3,Vanilla,112853213,1153450,12000,3459964,2.9996653
12000,1024,102400,1,3,Vanilla,115016791,1923240,12000,5761499,2.9957254
12000,1024,102400,1,3,Vanilla,114880788,1627726,12000,4880167,2.99815
12000,1024,102400,1,3,Vanilla,116656765,1789612,12000,5359864,2.9949865
12000,1024,102400,1,3,Vanilla,113133901,1736440,12000,5203795,2.9968183
12000,1024,102400,1,3,Vanilla,114758121,1129963,12000,3389275,2.9994566
12000,1024,102400,1,3,Vanilla,113366073,1422259,12000,4265558,2.999143
12000,1024,102400,1,3,Vanilla,111622541,1415143,12000,4243126,2.9983726
12000,1024,102400,1,3,Vanilla,115186413,1782155,12000,5339666,2.996185
12000,1024,102400,1,3,Vanilla,109938878,1533577,12000,4597092,2.997627
12000,1024,102400,1,3,Vanilla,111988236,1489414,12000,4465484,2.9981482
